profile,architecture,steps,alpha,gamma,behavior_episode_return,bc_wis_mean,cql_wis_mean,cql_ci_low,cql_ci_high,cql_ess,file_path,mtime
full,dueling,1000,0.25,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s1000_a0_25_g0_9_seed42.json,1777432005.0504658
full,dueling,1000,0.5,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s1000_a0_5_g0_9_seed42.json,1777432037.3422642
full,dueling,1000,0.75,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s1000_a0_75_g0_9_seed42.json,1777432074.1380444
full,dueling,1000,1.0,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s1000_a1_g0_9_seed42.json,1777432107.0858476
full,dueling,1000,1.5,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s1000_a1_5_g0_9_seed42.json,1777432140.8216462
full,dueling,1000,2.0,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s1000_a2_g0_9_seed42.json,1777432173.9974482
full,dueling,1000,2.5,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s1000_a2_5_g0_9_seed42.json,1777432208.9252396
full,dueling,1000,5.0,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s1000_a5_g0_9_seed42.json,1777432242.033042
full,dueling,1000,7.5,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s1000_a7_5_g0_9_seed42.json,1777432280.024815
full,dueling,1000,10.0,0.9,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s1000_a10_g0_9_seed42.json,1777432312.9406185
full,dueling,1000,0.25,0.95,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s1000_a0_25_g0_95_seed42.json,1777454727.0340974
full,dueling,1000,0.5,0.95,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s1000_a0_5_g0_95_seed42.json,1777454761.237882
full,dueling,1000,0.75,0.95,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s1000_a0_75_g0_95_seed42.json,1777454794.513672
full,dueling,1000,1.0,0.95,0.6855753646677472,0.6856932739059968,0.3994588699269772,0.1553016109829744,0.6279111967749688,54.62338742541197,outputs/ope/mimic_mdp_full_wis_s1000_a1_g0_95_seed42.json,1777454828.1254601
